+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                   ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                               ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; VGACtrl|VGAController|id_router_005|the_default_decode                                                                                                  ; 0     ; 22             ; 0            ; 22             ; 22     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|id_router_005                                                                                                                     ; 115   ; 0              ; 2            ; 0              ; 130    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|id_router_004|the_default_decode                                                                                                  ; 0     ; 22             ; 0            ; 22             ; 22     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|id_router_004                                                                                                                     ; 97    ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|id_router_003|the_default_decode                                                                                                  ; 0     ; 22             ; 0            ; 22             ; 22     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|id_router_003                                                                                                                     ; 97    ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|id_router_002|the_default_decode                                                                                                  ; 0     ; 22             ; 0            ; 22             ; 22     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|id_router_002                                                                                                                     ; 115   ; 0              ; 2            ; 0              ; 130    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|id_router_001|the_default_decode                                                                                                  ; 0     ; 22             ; 0            ; 22             ; 22     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|id_router_001                                                                                                                     ; 115   ; 0              ; 2            ; 0              ; 130    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|id_router|the_default_decode                                                                                                      ; 0     ; 22             ; 0            ; 22             ; 22     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|id_router                                                                                                                         ; 115   ; 0              ; 2            ; 0              ; 130    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|addr_router_002|the_default_decode                                                                                                ; 0     ; 22             ; 0            ; 22             ; 22     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|addr_router_002                                                                                                                   ; 88    ; 22             ; 7            ; 22             ; 103    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|addr_router_001|the_default_decode                                                                                                ; 0     ; 22             ; 0            ; 22             ; 22     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|addr_router_001                                                                                                                   ; 115   ; 0              ; 7            ; 0              ; 130    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|addr_router|the_default_decode                                                                                                    ; 0     ; 22             ; 0            ; 22             ; 22     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|addr_router                                                                                                                       ; 115   ; 0              ; 7            ; 0              ; 130    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sysid_control_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                            ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sysid_control_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                        ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sysid_control_slave_translator_avalon_universal_slave_0_agent                                                                     ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|data2nios_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                   ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|data2nios_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                               ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|data2nios_s1_translator_avalon_universal_slave_0_agent                                                                            ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|clk2nios_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                    ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|clk2nios_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|clk2nios_s1_translator_avalon_universal_slave_0_agent                                                                             ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|clock_f_nios_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|clock_f_nios_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                            ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|clock_f_nios_s1_translator_avalon_universal_slave_0_agent                                                                         ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|reset_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                       ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|reset_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                   ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|reset_s1_translator_avalon_universal_slave_0_agent                                                                                ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|image2_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                      ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|image2_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                  ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|image2_s1_translator_avalon_universal_slave_0_agent                                                                               ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|image1_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                      ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|image1_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                  ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|image1_s1_translator_avalon_universal_slave_0_agent                                                                               ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|leds_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                        ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|leds_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                    ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|leds_s1_translator_avalon_universal_slave_0_agent                                                                                 ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sw_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                          ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sw_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                      ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sw_s1_translator_avalon_universal_slave_0_agent                                                                                   ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|flash_memory_flash_erase_control_translator_avalon_universal_slave_0_agent_rsp_fifo                                               ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|flash_memory_flash_erase_control_translator_avalon_universal_slave_0_agent|uncompressor                                           ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|flash_memory_flash_erase_control_translator_avalon_universal_slave_0_agent                                                        ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|flash_memory_flash_data_translator_avalon_universal_slave_0_agent_rsp_fifo                                                        ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|flash_memory_flash_data_translator_avalon_universal_slave_0_agent|uncompressor                                                    ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|flash_memory_flash_data_translator_avalon_universal_slave_0_agent                                                                 ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|ram_onchip_memory_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                           ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|ram_onchip_memory_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                       ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|ram_onchip_memory_s1_translator_avalon_universal_slave_0_agent                                                                    ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sdram_controller_s1_translator_avalon_universal_slave_0_agent_rdata_fifo                                                          ; 63    ; 41             ; 0            ; 41             ; 20     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sdram_controller_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                            ; 137   ; 39             ; 0            ; 39             ; 96     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sdram_controller_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                        ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sdram_controller_s1_translator_avalon_universal_slave_0_agent                                                                     ; 251   ; 22             ; 38           ; 22             ; 267    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sram_512_avalon_sram_slave_translator_avalon_universal_slave_0_agent_rdata_fifo                                                   ; 63    ; 41             ; 0            ; 41             ; 20     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sram_512_avalon_sram_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                     ; 137   ; 39             ; 0            ; 39             ; 96     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sram_512_avalon_sram_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                 ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sram_512_avalon_sram_slave_translator_avalon_universal_slave_0_agent                                                              ; 251   ; 22             ; 38           ; 22             ; 267    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer_avalon_control_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                              ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer_avalon_control_slave_translator_avalon_universal_slave_0_agent|uncompressor                                          ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer_avalon_control_slave_translator_avalon_universal_slave_0_agent                                                       ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                  ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor                                              ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent                                                           ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo                                                       ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor                                                   ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1_jtag_debug_module_translator_avalon_universal_slave_0_agent                                                                ; 319   ; 39             ; 54           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer_avalon_pixel_dma_master_translator_avalon_universal_master_0_agent                                                   ; 152   ; 39             ; 91           ; 39             ; 96     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1_data_master_translator_avalon_universal_master_0_agent                                                                     ; 208   ; 39             ; 97           ; 39             ; 147    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1_instruction_master_translator_avalon_universal_master_0_agent                                                              ; 208   ; 39             ; 97           ; 39             ; 147    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sysid_control_slave_translator                                                                                                    ; 116   ; 7              ; 31           ; 7              ; 35     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|data2nios_s1_translator                                                                                                           ; 116   ; 7              ; 33           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|clk2nios_s1_translator                                                                                                            ; 116   ; 7              ; 33           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|clock_f_nios_s1_translator                                                                                                        ; 116   ; 7              ; 33           ; 7              ; 70     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|reset_s1_translator                                                                                                               ; 116   ; 7              ; 33           ; 7              ; 70     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|image2_s1_translator                                                                                                              ; 116   ; 7              ; 33           ; 7              ; 70     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|image1_s1_translator                                                                                                              ; 116   ; 7              ; 33           ; 7              ; 70     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|leds_s1_translator                                                                                                                ; 116   ; 7              ; 33           ; 7              ; 70     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sw_s1_translator                                                                                                                  ; 116   ; 7              ; 33           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|flash_memory_flash_erase_control_translator                                                                                       ; 116   ; 6              ; 31           ; 6              ; 73     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|flash_memory_flash_data_translator                                                                                                ; 116   ; 6              ; 12           ; 6              ; 93     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|ram_onchip_memory_s1_translator                                                                                                   ; 116   ; 8              ; 19           ; 8              ; 86     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sdram_controller_s1_translator                                                                                                    ; 81    ; 5              ; 10           ; 5              ; 61     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sram_512_avalon_sram_slave_translator                                                                                             ; 81    ; 6              ; 14           ; 6              ; 56     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer_avalon_control_slave_translator                                                                                      ; 116   ; 7              ; 30           ; 7              ; 74     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|jtag_uart_0_avalon_jtag_slave_translator                                                                                          ; 116   ; 6              ; 34           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1_jtag_debug_module_translator                                                                                               ; 116   ; 6              ; 23           ; 6              ; 82     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|pixel_buffer_avalon_pixel_dma_master_translator                                                                                   ; 66    ; 22             ; 2            ; 22             ; 56     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1_data_master_translator                                                                                                     ; 110   ; 20             ; 0            ; 20             ; 108    ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|cpu_v1_instruction_master_translator                                                                                              ; 110   ; 59             ; 0            ; 59             ; 108    ; 59              ; 59            ; 59              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sysid                                                                                                                             ; 3     ; 18             ; 2            ; 18             ; 32     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|data2nios                                                                                                                         ; 20    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|clk2nios                                                                                                                          ; 5     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|clock_f_nios                                                                                                                      ; 38    ; 31             ; 31           ; 31             ; 33     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|reset                                                                                                                             ; 38    ; 31             ; 31           ; 31             ; 33     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|image2                                                                                                                            ; 38    ; 24             ; 24           ; 24             ; 40     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|image1                                                                                                                            ; 38    ; 24             ; 24           ; 24             ; 40     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|leds                                                                                                                              ; 38    ; 28             ; 28           ; 28             ; 36     ; 28              ; 28            ; 28              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sw                                                                                                                                ; 7     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|flash_memory|flash_mem_interface|fm                                                                                               ; 34    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|flash_memory|flash_mem_interface|ui                                                                                               ; 44    ; 0              ; 0            ; 0              ; 41     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|flash_memory|flash_mem_interface                                                                                                  ; 35    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|flash_memory                                                                                                                      ; 100   ; 0              ; 0            ; 0              ; 92     ; 0               ; 0             ; 0               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|ram_onchip_memory|the_altsyncram|auto_generated|mux2                                                                              ; 65    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|ram_onchip_memory|the_altsyncram|auto_generated|deep_decode                                                                       ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|ram_onchip_memory|the_altsyncram|auto_generated|decode3                                                                           ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|ram_onchip_memory|the_altsyncram|auto_generated                                                                                   ; 52    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|ram_onchip_memory                                                                                                                 ; 55    ; 0              ; 1            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sdram_controller|the_t_vga_v1_sdram_controller_input_efifo_module                                                                 ; 45    ; 0              ; 0            ; 0              ; 45     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sdram_controller                                                                                                                  ; 45    ; 1              ; 1            ; 1              ; 39     ; 1               ; 1             ; 1               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|sram_512                                                                                                                          ; 40    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|video_rgb_resampler                                                                                                               ; 14    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|wrfull_eq_comp_msb_mux                                                                   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|wrfull_eq_comp_lsb_mux                                                                   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|rdemp_eq_comp_msb_mux                                                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|rdemp_eq_comp_lsb_mux                                                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|wrfull_eq_comp_msb                                                                       ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|wrfull_eq_comp_lsb                                                                       ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|wrfull_eq_comp1_msb                                                                      ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGACtrl|VGAController|fifo_dual_clock|Data_FIFO|auto_generated|wrfull_eq_comp1_lsb                                                                      ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
